Source_Station_Name,Train_Count
CST-MUMBAI,513
SEALDAH,372
CHENNAI BEACH,339
HOWRAH JN.,338
KALYAN JN,285
THANE,186
PANVEL,141
TAMBARAM,140
MOOR MARKET,135
VELACHEERY,115
NEW DELHI,107
RAVLI JN,99
VASHI,92
DELHI JN.,88
PUNE JN.,81
CHENNAI CENTRAL,78
BARDDHAMAN JN.,78
CHENGALPATTU,74
BANDEL JN.,73
LOKMANYA TILAK TERMINUS,70
LUCKNOW JN.,68
PATNA JN.,67
GORAKHPUR JN.,67
HAZRAT NIZAMUDDIN JN,66
SECUNDERABAD JN.,66
KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION),64
AHMEDABAD,64
YESVANTPUR JN.,60
HYDERABAD DECCAN,59
AMRITSAR JN.,57
